"","word"
"8.10","usaha"
"8.11","dalam"
"8.12","memerangi"
"8.13","covid"
"8.14","menjaga"
"8.15","kebajikan"
"8.16","rakyat"
"8.17","dan"
"8.18","meneruskan"
"8.19","kelangsungan"
"8.20","ekonomi"
"8.21","negara"
"8.22","komunikasikita"
"8.23","jabatanpenerangan"
"9","itu"
"9.1","sih"
"9.2","okay"
"9.3","nak"
"9.4","cucuk"
"9.5","vaksin"
"9.6","beribu"
"9.7","kali"
"9.8","tapi"
"9.9","ini"
"9.10","ekonomi"
"9.11","n"
"9.12","penyakit"
"9.13","covid"
"9.14","kasih"
"9.15","hapus"
"9.16","buat"
"9.17","yang"
"9.18","terbaik"
"9.19","jangan"
"9.20","mengambil"
"9.21","kesempatan"
"9.22","dalam"
"9.23","kesempatan"
"10","cara"
"10.1","ini"
"10.2","salah"
"10.3","tunggulah"
"10.4","covid"
"10.5","reda"
"10.6","dulu"
"10.7","pihak"
"10.8","pembangkang"
"10.9","ini"
"10.10","pikirkan"
"10.11","jawatan"
"10.12","saja"
"10.13","ramai"
"10.14","yang"
"10.15","tengah"
"10.16","tenat"
"10.17","sekarang"
"10.18","ini"
"10.19","frontliner"
"10.20","tenat"
"10.21","para"
"10.22","peniaga"
"10.23","tenat"
"10.24","student"
"10.25","tenat"
"10.26","yang"
"10.27","terkurung"
"10.28","dari"
"10.29","pkp"
"10.30","tenat"
"10.31","ekonomi"
"10.32","negara"
"10.33","tenat"
"10.34","apa"
"10.35","lah"
"10.36","nasib"
"11","setiap"
"11.1","minggu"
"11.2","swab"
"11.3","kan"
"11.4","kalau"
"11.5","kilang"
"11.6","sanggup"
"11.7","habiskan"
"11.8","duit"
"11.9","semata"
"11.10","nak"
"11.11","jalankan"
"11.12","produk"
"11.13","ekonomi"
"11.14","penting"
"11.15","kan"
"11.16","padahal"
"11.17","yang"
"11.18","positif"
"11.19","pon"
"11.20","deh"
"11.21","ramai"
"11.22","yang"
"11.23","mati"
"11.24","pon"
"11.25","deh"
"11.26","ramai"
"11.27","pekerja"
"11.28","yang"
"11.29","lain"
"11.30","pon"
"11.31","sampai"
"11.32","takot"
"11.33","nak"
"11.34","enggak"
"11.35","kerja"
"11.36","sebab"
"11.37","kes"
"11.38","covid"
"12","ditunjuk"
"12.1","jadi"
"12.2","ketua"
"12.3","komite"
"12.4","penanggulangan"
"12.5","covid"
"12.6","dan"
"12.7","pemulihan"
"12.8","ekonomi"
"12.9","nasional"
"12.10","tahun"
"12.11","lah"
"12.12","kok"
"12.13","malah"
"12.14","pasang"
"12.15","gambar"
"12.16","diri"
"12.17","dimana"
"12.18","baru"
"12.19","mau"
"12.20","kerja"
"12.21","tahun"
"12.22","bagaimana"
"12.23","indonesia"
"12.24","tidak"
"12.25","juara"
"12.26","dunia"
"13","seremnya"
"13.1","yang"
"13.2","kayak"
"13.3","begini"
"13.4","bisa"
"13.5","benaran"
"13.6","kejadian"
"13.7","lho"
"13.8","misal"
"13.9","ppkm"
"13.10","terus"
"13.11","diulur"
"13.12","ulur"
"13.13","dengan"
"13.14","mengorbankan"
"13.15","ekonomi"
"13.16","sementara"
"13.17","penanganan"
"13.18","covid"
"13.19","enggak"
"13.20","membaik"
"13.21","semua"
"13.22","makin"
"13.23","exhausted"
"13.24","pada"
"13.25","capek"
"14","ppkm"
"14.1","darurat"
"14.2","hingga"
"14.3","agustus"
"14.4","rapatkan"
"14.5","barisan"
"14.6","demi"
"14.7","pemulihan"
"14.8","bersama"
"14.9","agar"
"14.10","penanganan"
"14.11","covid"
"14.12","ini"
"14.13","bisa"
"14.14","ditangani"
"14.15","dengan"
"14.16","baik"
"14.17","dan"
"14.18","ekonomi"
"14.19","rakyat"
"14.20","kecil"
"14.21","bisa"
"14.22","berjalan"
"14.23","ayo"
"14.24","terus"
"14.25","disiplin"
"14.26","menerapkan"
"14.27","prokes"
"14.28","dan"
"14.29","segera"
"14.30","melakukan"
"14.31","vaksinasi"
"14.32","beranipeduli"
"14.33","gerakanberbagiuntukwarga"
"15","buruh"
"15.1","meminta"
"15.2","gaji"
"15.3","pejabat"
"15.4","dipotong"
"15.5","buat"
"15.6","tangani"
"15.7","covid"
"15.8","ketua"
"15.9","umum"
"15.10","konfederasi"
"15.11","serikat"
"15.12","nasional"
"15.13","ksn"
"15.14","mengatakan"
"15.15","agar"
"15.16","pemerintah"
"15.17","dapat"
"15.18","memaksimalkan"
"15.19","sumber"
"15.20","daya"
"15.21","negara"
"15.22","dalam"
"15.23","penanganan"
"15.24","covid"
"15.25","salah"
"15.26","satunya"
"15.27","dengan"
"15.28","memotong"
"15.29","gaji"
"15.30","dan"
"15.31","tunjangan"
"15.32","para"
"15.33","pejabat"
"16","agenda"
"16.1","sidang"
"16.2","parlimen"
"16.3","yang"
"16.4","tergantung"
"16.5","akibat"
"16.6","penangguhan"
"16.7","pakej"
"16.8","bantuan"
"16.9","ekonomi"
"16.10","covid"
"16.11","pelaksanaan"
"16.12","darurat"
"16.13","untuk"
"16.14","melawan"
"16.15","covid"
"16.16","isu"
"16.17","rakyat"
"16.18","yang"
"16.19","sangat"
"16.20","penting"
"16.21","kerajaan"
"16.22","yang"
"16.23","tutup"
"16.24","parlimen"
"16.25","adalah"
"16.26","kerajaan"
"16.27","yang"
"16.28","tidak"
"16.29","prihatin"
"16.30","nasib"
"16.31","rakyat"
"16.32","kerajaangila"
"16.33","bukaparlimen"
"17","grab"
"17.1","indonesia"
"17.2","menggandeng"
"17.3","perusahaan"
"17.4","untuk"
"17.5","menggalang"
"17.6","donasi"
"17.7","yang"
"17.8","akan"
"17.9","disalurkan"
"17.10","melalui"
"17.11","untuk"
"17.12","membantu"
"17.13","warga"
"17.14","yang"
"17.15","pendapatannya"
"17.16","terdampak"
"17.17","pandemi"
"17.18","covid"
"17.19","ekonomi"
"17.20","adadikompas"
"18","kuota"
"18.1","rumah"
"18.2","subsidi"
"18.3","melalui"
"18.4","fasilitas"
"18.5","likuiditas"
"18.6","pembiayaan"
"18.7","perumahan"
"18.8","flpp"
"18.9","diperkirakan"
"18.10","habis"
"18.11","pada"
"18.12","akhir"
"18.13","september"
"18.14","permintaan"
"18.15","rumah"
"18.16","dari"
"18.17","masyarakat"
"18.18","berpenghasilan"
"18.19","rendah"
"18.20","tetap"
"18.21","tumbuh"
"18.22","di"
"18.23","tengah"
"18.24","pandemi"
"18.25","covid"
"18.26","ekonomi"
"18.27","adadikompas"
"19","iskandar"
"19.1","investment"
"19.2","bhd"
"19.3","dan"
"19.4","anak"
"19.5","syarikatnya"
"19.6","educity"
"19.7","educity"
"19.8","telah"
"19.9","jadikan"
"19.10","kompleks"
"19.11","sukan"
"19.12","educity"
"19.13","sebagai"
"19.14","ppv"
"19.15","hari"
"19.16","ini"
"19.17","dan"
"19.18","menetapkan"
"19.19","sasaran"
"19.20","seramai"
"19.21","individu"
"19.22","diberikan"
"19.23","suntikan"
"19.24","vaksin"
"19.25","covid"
"19.26","setiap"
"19.27","hari"
"19.28","menangbersama"
"19.29","lindungdirilindungsemua"
"20","penganalis"
"20.1","politik"
"20.2","ini"
"20.3","bercakap"
"20.4","untuk"
"20.5","diri"
"20.6","sendiri"
"20.7","ke"
"20.8","apa"
"20.9","parlimen"
"20.10","baru"
"20.11","saja"
"20.12","buka"
"20.13","darurat"
"20.14","deh"
"20.15","berapa"
"20.16","bulan"
"20.17","ada"
"20.18","ekonomi"
"20.19","dan"
"20.20","covid"
"20.21","be"
"20.22","ambah"
"20.23","baik"
"20.24","ke"
"20.25","sepanjang"
"20.26","darurat"
"20.27","tiada"
"20.28","siapa"
"20.29","pun"
"20.30","yang"
"20.31","dapat"
"20.32","usik"
"20.33","kedudukan"
"20.34","pn"
"20.35","bila"
"20.36","penganalis"
"20.37","jadi"
"20.38","pengampu"
"21","krisis"
"21.1","covid"
"21.2","terhadap"
"21.3","ekonomi"
"21.4","indonesia"
"21.5","rabu"
"21.6","agustus"
"21.7","wib"
"21.8","registrasi"
"21.9","zoom"
"21.10","almi"
"21.11","tv"
"21.12","sainsgardadepan"
"21.13","covid"
"21.14","ekonomi"
"22","krisis"
"22.1","covid"
"22.2","terhadap"
"22.3","ekonomi"
"22.4","indonesia"
"22.5","produk"
"22.6","domestik"
"22.7","bruto"
"22.8","pdb"
"22.9","yang"
"22.10","menurun"
"22.11","sebesar"
"22.12","persen"
"22.13","menunjukkan"
"22.14","terjadinya"
"22.15","resesi"
"22.16","untuk"
"22.17","pe"
"22.18","sama"
"22.19","kali"
"22.20","setelah"
"22.21","lebih"
"22.22","dari"
"22.23","dua"
"22.24","dekade"
"23","merespons"
"23.1","kondisi"
"23.2","tersebut"
"23.3","almi"
"23.4","menyelenggarakan"
"23.5","scientist"
"23.6","series"
"23.7","untuk"
"23.8","membahas"
"23.9","resesi"
"23.10","akibat"
"23.11","krisis"
"23.12","covid"
"23.13","yang"
"23.14","berdampak"
"23.15","pada"
"23.16","isu"
"23.17","ekonomi"
"23.18","lain"
"23.19","sepe"
"23.20","i"
"23.21","kemiskinan"
"23.22","lapangan"
"23.23","kerja"
"23.24","dan"
"23.25","perdagangan"
"23.26","yang"
"23.27","kemudian"
"23.28","berdampak"
"23.29","pada"
"23.30","ketimpangan"
"23.31","dan"
"23.32","kualitas"
"23.33","modal"
"23.34","manusia"
"24","deh"
"24.1","setahun"
"24.2","setengah"
"24.3","covid"
"24.4","ini"
"24.5","bunuh"
"24.6","orang"
"24.7","harini"
"24.8","bagi"
"24.9","data"
"24.10","kemudian"
"24.11","expect"
"24.12","esok"
"24.13","kes"
"24.14","turun"
"24.15","apa"
"24.16","kata"
"24.17","esok"
"24.18","federal"
"24.19","bagi"
"24.20","sekali"
"24.21","bajet"
"24.22","kesihatan"
"24.23","berpuluh"
"24.24","billion"
"24.25","dkt"
"24.26","selangor"
"24.27","biar"
"24.28","selangor"
"24.29","manage"
"24.30","lagipun"
"24.31","ekonomi"
"24.32","negara"
"24.33","ini"
"24.34","selangor"
"24.35","yang"
"24.36","sumbang"
"24.37","aku"
"24.38","setuju"
"24.39","selangor"
"24.40","memang"
"24.41","terer"
"25","pencapaian"
"25.1","ekonomi"
"25.2","era"
"25.3","surabaya"
"25.4","dan"
"25.5","era"
"25.6","orang"
"25.7","baik"
"25.8","yang"
"25.9","didukung"
"25.10","orang"
"25.11","baik"
"25.12","jomplang"
"25.13","cing"
"25.14","jangan"
"25.15","lo"
"25.16","bilang"
"25.17","karena"
"25.18","covid"
"25.19","ya"
"25.20","ini"
"25.21","hitungan"
"25.22","sama"
"25.23","lima"
"25.24","tahun"
"25.25","pe"
"25.26","sama"
"25.27","belum"
"25.28","ada"
"25.29","covid"
"25.30","grinning"
"25.31","face"
"25.32","grinning"
"25.33","face"
"26","situasi"
"26.1","bali"
"26.2","masih"
"26.3","murung"
"26.4","cengkeraman"
"26.5","pandemi"
"26.6","covid"
"26.7","belum"
"26.8","beranjak"
"26.9","pergi"
"26.10","meredam"
"26.11","pendar"
"26.12","pendar"
"26.13","cahaya"
"26.14","keriaan"
"26.15","dunia"
"26.16","pariwisata"
"26.17","sektor"
"26.18","ekonomi"
"26.19","yang"
"26.20","menyumbang"
"26.21","persen"
"26.22","pada"
"26.23","produk"
"26.24","domestik"
"26.25","bruto"
"26.26","pdb"
"26.27","provinsi"
"26.28","itu"
"26.29","indonesiagoid"
"26.30","gprindonesia"
"27","vaksin"
"27.1","terbaik"
"27.2","adalah"
"27.3","vaksin"
"27.4","yang"
"27.5","sudah"
"27.6","tersedia"
"27.7","dan"
"27.8","dapat"
"27.9","kita"
"27.10","akses"
"27.11","untuk"
"27.12","informasi"
"27.13","terkait"
"27.14","covid"
"27.15","kunjungi"
"27.16","situs"
"27.17","resmi"
"27.18","penanganan"
"27.19","covid"
"27.20","dan"
"27.21","pemulihan"
"27.22","ekonomi"
"27.23","nasional"
"27.24","dan"
"27.25","indonesiabangkit"
"27.26","menterikkp"
"28","terpopuler"
"28.1","kabar"
"28.2","keluarga"
"28.3","almarhum"
"28.4","pengusaha"
"28.5","akidi"
"28.6","tio"
"28.7","menyumbang"
"28.8","rp"
"28.9","triliun"
"28.10","untuk"
"28.11","membantu"
"28.12","penanganan"
"28.13","covid"
"28.14","mencuri"
"28.15","perhatian"
"28.16","banyak"
"28.17","tokoh"
"28.18","publik"
"29","terpopuler"
"29.1","kritik"
"29.2","keras"
"29.3","muncul"
"29.4","pada"
"29.5","kebijakan"
"29.6","anggaran"
"29.7","program"
"29.8","pemulihan"
"29.9","ekonomi"
"29.10","nasional"
"29.11","alias"
"29.12","pengin"
"29.13","yang"
"29.14","diluncurkan"
"29.15","untuk"
"29.16","mengatasi"
"29.17","dampak"
"29.18","covid"
"30","terpopuler"
"30.1","kabar"
"30.2","keluarga"
"30.3","almarhum"
"30.4","pengusaha"
"30.5","akidi"
"30.6","tio"
"30.7","menyumbang"
"30.8","rp"
"30.9","triliun"
"30.10","untuk"
"30.11","membantu"
"30.12","penanganan"
"30.13","covid"
"30.14","mencuri"
"30.15","perhatian"
"30.16","banyak"
"30.17","tokoh"
"30.18","publik"
"31","hasil"
"31.1","survei"
"31.2","bps"
"31.3","mengungkap"
"31.4","alasan"
"31.5","orang"
"31.6","tak"
"31.7","mengikuti"
"31.8","vaksinasi"
"31.9","covid"
"31.10","corona"
"32","jaga"
"32.1","temperatur"
"32.2","penanganan"
"32.3","vaksin"
"32.4","covid"
"32.5","jas"
"32.6","pakai"
"32.7","thermal"
"32.8","blanket"
"32.9","via"
"32.10","cekdulumedcom"
"32.11","carabarumenikmatimedcom"
"33","untuk"
"33.1","kahwin"
"33.2","musim"
"33.3","covid"
"33.4","pkp"
"33.5","ini"
"33.6","memang"
"33.7","murah"
"33.8","tiada"
"33.9","majlis"
"33.10","tak"
"33.11","perlu"
"33.12","mewah"
"33.13","mewah"
"33.14","tapi"
"33.15","perkara"
"33.16","ini"
"33.17","bukan"
"33.18","mudah"
"33.19","kehidupan"
"33.20","selepas"
"33.21","kahwin"
"33.22","dalam"
"33.23","situasi"
"33.24","ekonomi"
"33.25","sekarang"
"33.26","sangat"
"33.27","mencabar"
"33.28","ada"
"33.29","pengantin"
"33.30","pkp"
"33.31","yang"
"33.32","boleh"
"33.33","beri"
"33.34","pendapat"
"33.35","nasihat"
"34","mengajak"
"34.1","pengamal"
"34.2","media"
"34.3","agar"
"34.4","sama"
"34.5","sama"
"34.6","berganding"
"34.7","bahu"
"34.8","menumpukan"
"34.9","segala"
"34.10","usaha"
"34.11","dalam"
"34.12","memerangi"
"34.13","covid"
"34.14","menjaga"
"34.15","kebajikan"
"34.16","rakyat"
"34.17","dan"
"34.18","meneruskan"
"34.19","kelangsungan"
"34.20","ekonomi"
"34.21","negara"
"34.22","komunikasikita"
"34.23","jabatanpenerangan"
"34.24","perlismaju"
"35","terpopuler"
"35.1","kritik"
"35.2","keras"
"35.3","muncul"
"35.4","pada"
"35.5","kebijakan"
"35.6","anggaran"
"35.7","program"
"35.8","pemulihan"
"35.9","ekonomi"
"35.10","nasional"
"35.11","alias"
"35.12","pengin"
"35.13","yang"
"35.14","diluncurkan"
"35.15","untuk"
"35.16","mengatasi"
"35.17","dampak"
"35.18","covid"
"36","hasil"
"36.1","survei"
"36.2","bps"
"36.3","mengungkap"
"36.4","alasan"
"36.5","orang"
"36.6","tak"
"36.7","mengikuti"
"36.8","vaksinasi"
"36.9","covid"
"36.10","corona"
"37","breaking"
"37.1","news"
"37.2","ketika"
"37.3","negara"
"37.4","sudah"
"37.5","babak"
"37.6","belur"
"37.7","ekonomi"
"37.8","berantakan"
"37.9","ribuan"
"37.10","umkm"
"37.11","terpaksa"
"37.12","gulung"
"37.13","tikar"
"37.14","luhut"
"37.15","ternyata"
"37.16","baru"
"37.17","paham"
"37.18","bahwa"
"37.19","teknik"
"37.20","tracing"
"37.21","penting"
"37.22","dalam"
"37.23","penanganan"
"37.24","covid"
"37.25","kok"
"37.26","lama"
"37.27","banget"
"37.28","sih"
"37.29","nge"
"37.30","inya"
"38","semoga"
"38.1","indonesia"
"38.2","segera"
"38.3","terbebas"
"38.4","dari"
"38.5","virus"
"38.6","covid"
"38.7","dan"
"38.8","ekonomi"
"38.9","kembali"
"38.10","pulih"
"39","pengembang"
"39.1","bukit"
"39.2","algoritma"
"39.3","punya"
"39.4","misi"
"39.5","bangkitkan"
"39.6","ekonomi"
"39.7","nasional"
"39.8","dari"
"39.9","covid"
"40","kibarkan"
"40.1","merah"
"40.2","putih"
"40.3","lawan"
"40.4","covid"
"40.5","indonesia"
"40.6","sehat"
"40.7","ekonomi"
"40.8","bangkit"
"40.9","polripresisi"
"40.10","divisihumaspolri"
"40.11","humaspoldajatim"
"40.12","polreslumajang"
"40.13","humaspolreslumajang"
"41","bpn"
"41.1","banten"
"41.2","peduli"
"41.3","salurkan"
"41.4","donasi"
"41.5","jumat"
"41.6","berbagi"
"41.7","rangkasbitung"
"41.8","hampir"
"41.9","di"
"41.10","seluruh"
"41.11","belahan"
"41.12","dunia"
"41.13","menghadapi"
"41.14","ujian"
"41.15","pandemi"
"41.16","corona"
"41.17","virus"
"41.18","disease"
"41.19","covid"
"41.20","begitupun"
"41.21","dengan"
"41.22","bangsa"
"41.23","indonesia"
"41.24","yang"
"41.25","berdampak"
"41.26","tak"
"41.27","hanya"
"41.28","kesehatan"
"41.29","tapi"
"41.30","juga"
"41.31","ekonomi"
"41.32","dan"
"41.33","sosial"
"42","terlebih"
"42.1","obatan"
"42.2","untuk"
"42.3","terapi"
"42.4","covid"
"42.5","semakin"
"42.6","mahal"
"42.7","dan"
"42.8","langka"
"42.9","di"
"42.10","pasaran"
"42.11","puan"
"42.12","maharani"
"42.13","dimana"
"42.14","empati"
"42.15","mereka"
"42.16","ketika"
"42.17","orang"
"42.18","sakit"
"42.19","masih"
"42.20","harus"
"42.21","membayar"
"42.22","obat"
"42.23","dengan"
"42.24","harga"
"42.25","mahal"
"42.26","dan"
"42.27","obat"
"42.28","ditimbun"
"42.29","demi"
"42.30","keuntungan"
"42.31","ekonomi"
"42.32","tindak"
"42.33","tegas"
"42.34","semua"
"42.35","mafia"
"43","mbak"
"43.1","puan"
"43.2","maharani"
"43.3","juga"
"43.4","mengutuk"
"43.5","praktik"
"43.6","mafia"
"43.7","obat"
"43.8","terlebih"
"43.9","obat"
"43.10","terapi"
"43.11","covid"
"43.12","di"
"43.13","mana"
"43.14","empati"
"43.15","ketika"
"43.16","orang"
"43.17","sakit"
"43.18","masih"
"43.19","harus"
"43.20","membayar"
"43.21","harga"
"43.22","mahal"
"43.23","dan"
"43.24","obat"
"43.25","ditimbun"
"43.26","demi"
"43.27","keuntungan"
"43.28","ekonomi"
"43.29","ketua"
"43.30","dpr"
"43.31","pun"
"43.32","meminta"
"43.33","pemerintah"
"43.34","untuk"
"43.35","tindak"
"43.36","tegas"
"43.37","semua"
"43.38","mafia"
"43.39","obat"
"43.40","puanesia"
"44","ketua"
"44.1","dpr"
"44.2","ri"
"44.3","puan"
"44.4","maharani"
"44.5","mengutuk"
"44.6","praktik"
"44.7","mafia"
"44.8","obat"
"44.9","terlebih"
"44.10","untuk"
"44.11","terapi"
"44.12","covid"
"44.13","di"
"44.14","mana"
"44.15","empati"
"44.16","ketika"
"44.17","orang"
"44.18","sakit"
"44.19","masih"
"44.20","harus"
"44.21","membayar"
"44.22","harga"
"44.23","mahal"
"44.24","dan"
"44.25","obat"
"44.26","ditimbun"
"44.27","demi"
"44.28","keuntungan"
"44.29","ekonomi"
"44.30","tindak"
"44.31","tegas"
"44.32","semua"
"44.33","mafia"
"44.34","obat"
"44.35","ujar"
"44.36","puanesia"
"45","ini"
"45.1","kena"
"45.2","persalahkan"
"45.3","jemin"
"45.4","yang"
"45.5","benar"
"45.6","sektor"
"45.7","ekonomi"
"45.8","beroperasi"
"45.9","masa"
"45.10","pkp"
"45.11","termasuk"
"45.12","kilang"
"45.13","industri"
"45.14","tapak"
"45.15","pembinaan"
"45.16","untuk"
"45.17","jaga"
"45.18","ekonomi"
"45.19","negara"
"45.20","tapi"
"45.21","ramai"
"45.22","rakyat"
"45.23","yang"
"45.24","mati"
"45.25","dijangkiti"
"45.26","covid"
"46","dengan"
"46.1","dilakukannya"
"46.2","vaksinasi"
"46.3","kepada"
"46.4","buruh"
"46.5","ini"
"46.6","diharapkan"
"46.7","terciptanya"
"46.8","kekebalan"
"46.9","kelompok"
"46.10","atau"
"46.11","herd"
"46.12","immunity"
"46.13","dari"
"46.14","virus"
"46.15","corona"
"46.16","atau"
"46.17","covid"
"46.18","dan"
"46.19","semua"
"46.20","buruh"
"46.21","atau"
"46.22","pekerja"
"46.23","sehat"
"46.24","ekonomi"
"46.25","meningkat"
"46.26","banten"
"46.27","kuat"
"46.28","kapolri"
"46.29","sinergipercepatvaksinasi"
"46.30","patuhi"
"46.31","ppkm"
"46.32","lakukanm"
"47","adakah"
"47.1","ini"
"47.2","pemimpin"
"47.3","yang"
"47.4","kita"
"47.5","harapkan"
"47.6","untuk"
"47.7","menyelamatkan"
"47.8","negara"
"47.9","dari"
"47.10","krisis"
"47.11","wabak"
"47.12","covid"
"47.13","dan"
"47.14","krisis"
"47.15","ekonomi"
"48","lapan"
"48.1","pakej"
"48.2","bantuan"
"48.3","dan"
"48.4","rangsangan"
"48.5","ekonomi"
"48.6","bernilai"
"48.7","rm"
"48.8","bilion"
"48.9","dilaksanakan"
"48.10","sejak"
"48.11","pandemik"
"48.12","covid"
"48.13","melanda"
"48.14","negara"
"48.15","membuktikan"
"48.16","kerajaan"
"48.17","mendengar"
"48.18","dan"
"48.19","be"
"48.20","indak"
"48.21","supaya"
"48.22","rakyat"
"48.23","dan"
"48.24","ekonomi"
"48.25","terus"
"48.26","be"
"48.27","ahan"
"48.28","dalam"
"48.29","tempoh"
"48.30","mencabar"
"48.31","ini"
"48.32","komunikasikita"
"48.33","jabatanpenerangan"
"48.34","pemerkasa"
"49","kesehatan"
"49.1","ppkm"
"49.2","tidak"
"49.3","efektif"
"49.4","tanggulangi"
"49.5","covid"
"49.6","ekonomi"
"49.7","ppkm"
"49.8","hambat"
"49.9","ekonomi"
"49.10","rakyat"
"49.11","sosial"
"49.12","ppkm"
"49.13","berresiko"
"49.14","kesenjangan"
"49.15","sosial"
"49.16","politik"
"49.17","ppkm"
"49.18","efektif"
"49.19","jadi"
"49.20","alasan"
"49.21","untuk"
"49.22","menambah"
"49.23","utang"
"50","satu"
"50.1","dunia"
"50.2","puji"
"50.3","langkah"
"50.4","malaysia"
"50.5","merangsang"
"50.6","dan"
"50.7","memacu"
"50.8","ekonomi"
"50.9","negara"
"50.10","ketika"
"50.11","wabak"
"50.12","covid"
"50.13","cuma"
"50.14","tun"
"50.15","sama"
"50.16","dan"
"50.17","ph"
"50.18","sahaja"
"50.19","yang"
"50.20","condemned"
"50.21","kerajaan"
"50.22","ydpa"
"50.23","thumbs"
"50.24","up"
"50.25","dan"
"50.26","puji"
"50.27","langkah"
"50.28","penjana"
"50.29","kerajaan"
"50.30","pn"
"50.31","bungkos"
"50.32","lah"
"50.33","lu"
"50.34","ph"
"50.35","auta"
"50.36","lebih"
"50.37","tak"
"50.38","layan"
"50.39","via"
"51","prank"
"51.1","dari"
"51.2","masa"
"51.3","ke"
"51.4","masa"
"51.5","mobil"
"51.6","esemka"
"51.7","tidak"
"51.8","mikir"
"51.9","copras"
"51.10","capres"
"51.11","rp"
"51.12","ribu"
"51.13","per"
"51.14","usd"
"51.15","mudah"
"51.16","atasi"
"51.17","banjir"
"51.18","dan"
"51.19","macet"
